10000
-0.4 0.4
-0.4 5.58612e+18 2.59795e+23
-0.39992 5.60343e+18 2.606e+23
-0.39984 5.6208e+18 2.61408e+23
-0.39976 5.63822e+18 2.62218e+23
-0.39968 5.6557e+18 2.63031e+23
-0.3996 5.67323e+18 2.63846e+23
-0.39952 5.69081e+18 2.64664e+23
-0.39944 5.70845e+18 2.65484e+23
-0.39936 5.72615e+18 2.66307e+23
-0.39928 5.7439e+18 2.67132e+23
-0.3992 5.7617e+18 2.6796e+23
-0.39912 5.77956e+18 2.68791e+23
-0.39904 5.79747e+18 2.69624e+23
-0.39896 5.81544e+18 2.7046e+23
-0.39888 5.83347e+18 2.71298e+23
-0.3988 5.85155e+18 2.72139e+23
-0.39872 5.86969e+18 2.72983e+23
-0.39864 5.88788e+18 2.73829e+23
-0.39856 5.90613e+18 2.74678e+23
-0.39848 5.92444e+18 2.75529e+23
-0.3984 5.9428e+18 2.76383e+23
-0.39832 5.96122e+18 2.7724e+23
-0.39824 5.9797e+18 2.78099e+23
-0.39816 5.99824e+18 2.78961e+23
-0.39808 6.01683e+18 2.79826e+23
-0.398 6.03548e+18 2.80693e+23
-0.39792 6.05419e+18 2.81563e+23
-0.39784 6.07295e+18 2.82436e+23
-0.39776 6.09178e+18 2.83311e+23
-0.39768 6.11066e+18 2.8419e+23
-0.3976 6.1296e+18 2.8507e+23
-0.39752 6.1486e+18 2.85954e+23
-0.39744 6.16766e+18 2.8684e+23
-0.39736 6.18678e+18 2.8773e+23
-0.39728 6.20595e+18 2.88621e+23
-0.3972 6.22519e+18 2.89516e+23
-0.39712 6.24448e+18 2.90413e+23
-0.39704 6.26384e+18 2.91314e+23
-0.39696 6.28326e+18 2.92217e+23
-0.39688 6.30273e+18 2.93122e+23
-0.3968 6.32227e+18 2.94031e+23
-0.39672 6.34186e+18 2.94942e+23
-0.39664 6.36152e+18 2.95857e+23
-0.39656 6.38124e+18 2.96774e+23
-0.39648 6.40102e+18 2.97693e+23
-0.3964 6.42086e+18 2.98616e+23
-0.39632 6.44076e+18 2.99542e+23
-0.39624 6.46073e+18 3.0047e+23
-0.39616 6.48075e+18 3.01402e+23
-0.39608 6.50084e+18 3.02336e+23
-0.396 6.52099e+18 3.03273e+23
-0.39592 6.5412e+18 3.04213e+23
-0.39584 6.56148e+18 3.05156e+23
-0.39576 6.58182e+18 3.06102e+23
-0.39568 6.60222e+18 3.07051e+23
-0.3956 6.62268e+18 3.08002e+23
-0.39552 6.64321e+18 3.08957e+23
-0.39544 6.6638e+18 3.09915e+23
-0.39536 6.68446e+18 3.10875e+23
-0.39528 6.70518e+18 3.11839e+23
-0.3952 6.72596e+18 3.12806e+23
-0.39512 6.74681e+18 3.13775e+23
-0.39504 6.76772e+18 3.14748e+23
-0.394959 6.7887e+18 3.15723e+23
-0.394879 6.80974e+18 3.16702e+23
-0.394799 6.83085e+18 3.17684e+23
-0.394719 6.85202e+18 3.18668e+23
-0.394639 6.87326e+18 3.19656e+23
-0.394559 6.89457e+18 3.20647e+23
-0.394479 6.91594e+18 3.21641e+23
-0.394399 6.93737e+18 3.22638e+23
-0.394319 6.95888e+18 3.23638e+23
-0.394239 6.98045e+18 3.24641e+23
-0.394159 7.00208e+18 3.25647e+23
-0.394079 7.02379e+18 3.26657e+23
-0.393999 7.04556e+18 3.27669e+23
-0.393919 7.0674e+18 3.28685e+23
-0.393839 7.0893e+18 3.29704e+23
-0.393759 7.11128e+18 3.30726e+23
-0.393679 7.13332e+18 3.31751e+23
