Energy(eV) DOS(1/eV/m^3) DOS_Norm(CodeUnits)
0 0 0
0.001 2.4045e+26 0.0314562
0.002 3.40472e+26 0.0445414
0.003 4.17512e+26 0.0546199
0.004 4.82703e+26 0.0631483
0.005 5.4035e+26 0.0706899
0.006 5.92661e+26 0.0775332
0.007 6.40943e+26 0.0838496
0.008 6.86048e+26 0.0897504
0.009 7.28567e+26 0.0953128
0.01 7.68929e+26 0.100593
0.011 8.07459e+26 0.105634
0.012 8.44408e+26 0.110467
0.013 8.79975e+26 0.11512
0.014 9.14321e+26 0.119614
0.015 9.47581e+26 0.123965
0.016 9.79865e+26 0.128188
0.017 1.01127e+27 0.132296
0.018 1.04187e+27 0.136299
0.019 1.07173e+27 0.140206
0.02 1.10093e+27 0.144026
0.021 1.1295e+27 0.147764
0.022 1.1575e+27 0.151426
0.023 1.18496e+27 0.15502
0.024 1.21193e+27 0.158548
0.025 1.23844e+27 0.162015
0.026 1.26451e+27 0.165426
0.027 1.29017e+27 0.168783
0.028 1.31545e+27 0.17209
0.029 1.34036e+27 0.175349
0.03 1.36494e+27 0.178564
0.031 1.38919e+27 0.181737
0.032 1.41313e+27 0.18487
0.033 1.43679e+27 0.187964
0.034 1.46017e+27 0.191022
0.035 1.48328e+27 0.194046
0.036 1.50615e+27 0.197037
0.037 1.52877e+27 0.199997
0.038 1.55117e+27 0.202927
0.039 1.57334e+27 0.205828
0.04 1.59531e+27 0.208702
0.041 1.61708e+27 0.21155
0.042 1.63865e+27 0.214373
0.043 1.66004e+27 0.217171
0.044 1.68126e+27 0.219946
0.045 1.7023e+27 0.222699
0.046 1.72318e+27 0.22543
0.047 1.7439e+27 0.228141
0.048 1.76447e+27 0.230832
0.049 1.78489e+27 0.233503
0.05 1.80517e+27 0.236157
0.051 1.82531e+27 0.238792
0.052 1.84533e+27 0.24141
0.053 1.86521e+27 0.244011
0.054 1.88497e+27 0.246596
0.055 1.90461e+27 0.249166
0.056 1.92414e+27 0.25172
0.057 1.94355e+27 0.25426
0.058 1.96286e+27 0.256786
0.059 1.98206e+27 0.259298
0.06 2.00116e+27 0.261797
0.061 2.02016e+27 0.264282
0.062 2.03907e+27 0.266756
0.063 2.05788e+27 0.269217
0.064 2.0766e+27 0.271666
0.065 2.09524e+27 0.274104
0.066 2.11379e+27 0.276531
0.067 2.13226e+27 0.278946
0.068 2.15064e+27 0.281352
0.069 2.16895e+27 0.283747
0.07 2.18718e+27 0.286132
0.071 2.20534e+27 0.288508
0.072 2.22343e+27 0.290874
0.073 2.24144e+27 0.293231
0.074 2.25939e+27 0.295579
0.075 2.27727e+27 0.297918
0.076 2.29509e+27 0.300249
0.077 2.31284e+27 0.302572
0.078 2.33054e+27 0.304886
0.079 2.34817e+27 0.307193
0.08 2.36574e+27 0.309492
0.081 2.38326e+27 0.311783
0.082 2.40072e+27 0.314068
0.083 2.41813e+27 0.316345
0.084 2.43548e+27 0.318615
0.085 2.45278e+27 0.320879
0.086 2.47004e+27 0.323136
0.087 2.48724e+27 0.325386
0.088 2.50439e+27 0.327631
0.089 2.5215e+27 0.329869
0.09 2.53856e+27 0.332101
0.091 2.55558e+27 0.334327
0.092 2.57255e+27 0.336547
0.093 2.58948e+27 0.338762
0.094 2.60637e+27 0.340972
0.095 2.62322e+27 0.343176
0.096 2.64003e+27 0.345375
0.097 2.6568e+27 0.347569
0.098 2.67353e+27 0.349757
0.099 2.69022e+27 0.351941
0.1 2.70688e+27 0.354121
0.101 2.7235e+27 0.356295
0.102 2.74009e+27 0.358465
0.103 2.75665e+27 0.360631
0.104 2.77316e+27 0.362792
0.105 2.78965e+27 0.364949
0.106 2.80611e+27 0.367101
0.107 2.82253e+27 0.36925
0.108 2.83893e+27 0.371395
0.109 2.85529e+27 0.373536
0.11 2.87162e+27 0.375672
0.111 2.88793e+27 0.377806
0.112 2.90421e+27 0.379935
0.113 2.92046e+27 0.382061
0.114 2.93668e+27 0.384184
0.115 2.95288e+27 0.386303
0.116 2.96905e+27 0.388418
0.117 2.9852e+27 0.390531
0.118 3.00132e+27 0.39264
0.119 3.01742e+27 0.394746
0.12 3.0335e+27 0.396849
0.121 3.04955e+27 0.398949
0.122 3.06558e+27 0.401046
