Bin_Index Energy_Min(eV) Energy_Max(eV) Count Start_Index
0 0 0.002 330 0
1 0.002 0.004 576 330
2 0.004 0.006 540 906
3 0.006 0.008 876 1446
4 0.008 0.01 828 2322
5 0.01 0.012 1212 3150
6 0.012 0.014 1164 4362
7 0.014 0.016 864 5526
8 0.016 0.018 1716 6390
9 0.018 0.02 1308 8106
10 0.02 0.022 1224 9414
11 0.022 0.024 1524 10638
12 0.024 0.026 1680 12162
13 0.026 0.028 1836 13842
14 0.028 0.03 1728 15678
15 0.03 0.032 1236 17406
16 0.032 0.034 2184 18642
17 0.034 0.036 2172 20826
18 0.036 0.038 1824 22998
19 0.038 0.04 1740 24822
20 0.04 0.042 2040 26562
21 0.042 0.044 2592 28602
22 0.044 0.046 2172 31194
23 0.046 0.048 2232 33366
24 0.048 0.05 1788 35598
25 0.05 0.052 2280 37386
26 0.052 0.054 2400 39666
27 0.054 0.056 2940 42066
28 0.056 0.058 2784 45006
29 0.058 0.06 1977 47790
30 0.06 0.062 2280 49767
31 0.062 0.064 2556 52047
32 0.064 0.066 3057 54603
33 0.066 0.068 2856 57660
34 0.068 0.07 2496 60516
35 0.07 0.072 2661 63012
36 0.072 0.074 2892 65673
37 0.074 0.076 2616 68565
38 0.076 0.078 3093 71181
39 0.078 0.08 3012 74274
40 0.08 0.082 2976 77286
41 0.082 0.084 2949 80262
42 0.084 0.086 2772 83211
43 0.086 0.088 3168 85983
44 0.088 0.09 2616 89151
45 0.09 0.092 3201 91767
46 0.092 0.094 3384 94968
47 0.094 0.096 3588 98352
48 0.096 0.098 2601 101940
49 0.098 0.1 3444 104541
50 0.1 0.102 3216 107985
51 0.102 0.104 3072 111201
52 0.104 0.106 3261 114273
53 0.106 0.108 3732 117534
54 0.108 0.11 3288 121266
55 0.11 0.112 3429 124554
56 0.112 0.114 3516 127983
57 0.114 0.116 4032 131499
58 0.116 0.118 2796 135531
59 0.118 0.12 3264 138327
60 0.12 0.122 3876 141591
61 0.122 0.124 3816 145467
62 0.124 0.126 3408 149283
63 0.126 0.128 4632 152691
64 0.128 0.13 3408 157323
65 0.13 0.132 3468 160731
66 0.132 0.134 3252 164199
67 0.134 0.136 3552 167451
68 0.136 0.138 3684 171003
69 0.138 0.14 3660 174687
70 0.14 0.142 4104 178347
71 0.142 0.144 4272 182451
72 0.144 0.146 3048 186723
73 0.146 0.148 4236 189771
74 0.148 0.15 3132 194007
75 0.15 0.152 4032 197139
76 0.152 0.154 3624 201171
77 0.154 0.156 3360 204795
78 0.156 0.158 3948 208155
79 0.158 0.16 4212 212103
80 0.16 0.162 3816 216315
81 0.162 0.164 3828 220131
82 0.164 0.166 4200 223959
83 0.166 0.168 3480 228159
84 0.168 0.17 3804 231639
85 0.17 0.172 3036 235443
86 0.172 0.174 3288 238479
87 0.174 0.176 4584 241767
88 0.176 0.178 4308 246351
89 0.178 0.18 3852 250659
90 0.18 0.182 3612 254511
91 0.182 0.184 4080 258123
92 0.184 0.186 3528 262203
93 0.186 0.188 3612 265731
94 0.188 0.19 4152 269343
95 0.19 0.192 3804 273495
96 0.192 0.194 3228 277299
97 0.194 0.196 4740 280527
98 0.196 0.198 3888 285267
99 0.198 0.2 3468 289155
100 0.2 0.202 4476 292623
101 0.202 0.204 3990 297099
102 0.204 0.206 4152 301089
103 0.206 0.208 3540 305241
104 0.208 0.21 3924 308781
105 0.21 0.212 3528 312705
106 0.212 0.214 4296 316233
107 0.214 0.216 3552 320529
108 0.216 0.218 4596 324081
109 0.218 0.22 3696 328677
110 0.22 0.222 4968 332373
111 0.222 0.224 4200 337341
112 0.224 0.226 3852 341541
113 0.226 0.228 3492 345393
114 0.228 0.23 3852 348885
115 0.23 0.232 4644 352737
116 0.232 0.234 3204 357381
117 0.234 0.236 4788 360585
118 0.236 0.238 4068 365373
119 0.238 0.24 3852 369441
120 0.24 0.242 4668 373293
121 0.242 0.244 3984 377961
122 0.244 0.246 3756 381945
123 0.246 0.248 4416 385701
124 0.248 0.25 4188 390117
125 0.25 0.252 3984 394305
126 0.252 0.254 3792 398289
127 0.254 0.256 3660 402081
128 0.256 0.258 4176 405741
129 0.258 0.26 4608 409917
130 0.26 0.262 4860 414525
131 0.262 0.264 4104 419385
132 0.264 0.266 4296 423489
133 0.266 0.268 4356 427785
134 0.268 0.27 4008 432141
135 0.27 0.272 4164 436149
136 0.272 0.274 3756 440313
137 0.274 0.276 3288 444069
138 0.276 0.278 4872 447357
139 0.278 0.28 4632 452229
140 0.28 0.282 4272 456861
141 0.282 0.284 4752 461133
142 0.284 0.286 4164 465885
143 0.286 0.288 3792 470049
144 0.288 0.29 4668 473841
145 0.29 0.292 4200 478509
146 0.292 0.294 4356 482709
147 0.294 0.296 3156 487065
148 0.296 0.298 5184 490221
149 0.298 0.3 3960 495405
150 0.3 0.302 4356 499365
151 0.302 0.304 4098 503721
152 0.304 0.306 5016 507819
153 0.306 0.308 3492 512835
154 0.308 0.31 5028 516327
155 0.31 0.312 5052 521355
156 0.312 0.314 4176 526407
157 0.314 0.316 4260 530583
158 0.316 0.318 4788 534843
159 0.318 0.32 3864 539631
160 0.32 0.322 4908 543495
161 0.322 0.324 3036 548403
162 0.324 0.326 4524 551439
163 0.326 0.328 4836 555963
164 0.328 0.33 5136 560799
165 0.33 0.332 4572 565935
166 0.332 0.334 4836 570507
167 0.334 0.336 4296 575343
168 0.336 0.338 4464 579639
169 0.338 0.34 4572 584103
