Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s)
0 7.22755e+11 0 0 2.89848e+11 0 4.32908e+11
0.001 7.34249e+11 0 0 2.95659e+11 0 4.38589e+11
0.002 7.45562e+11 0 0 3.01351e+11 0 4.44211e+11
0.003 7.5671e+11 0 0 3.06934e+11 0 4.49776e+11
0.004 7.67704e+11 0 0 3.12417e+11 0 4.55287e+11
0.005 7.78554e+11 0 0 3.17807e+11 0 4.60747e+11
0.006 7.89271e+11 0 0 3.23112e+11 0 4.66158e+11
0.007 7.99861e+11 0 0 3.28337e+11 0 4.71524e+11
0.008 8.10334e+11 0 0 3.33487e+11 0 4.76846e+11
0.009 8.20695e+11 0 0 3.38568e+11 0 4.82126e+11
0.01 8.3095e+11 0 0 3.43583e+11 0 4.87367e+11
0.011 8.48929e+11 0 7.82346e+09 3.48537e+11 0 4.92569e+11
0.012 8.62244e+11 0 1.10779e+10 3.53432e+11 0 4.97734e+11
0.013 8.74721e+11 0 1.35845e+10 3.58273e+11 0 5.02864e+11
0.014 8.86727e+11 0 1.57056e+10 3.63061e+11 0 5.0796e+11
0.015 8.98405e+11 0 1.75812e+10 3.678e+11 0 5.13024e+11
0.016 9.09831e+11 0 1.92832e+10 3.72491e+11 0 5.18057e+11
0.017 9.21052e+11 0 2.08542e+10 3.77138e+11 0 5.23059e+11
0.018 9.32097e+11 0 2.23218e+10 3.81742e+11 0 5.28033e+11
0.019 9.42989e+11 0 2.37052e+10 3.86306e+11 0 5.32978e+11
0.02 1.04539e+12 0 8.84641e+10 3.9083e+11 2.8198e+10 5.37896e+11
0.021 1.09414e+12 0 1.1611e+11 3.95318e+11 3.99279e+10 5.42788e+11
0.022 1.13403e+12 0 1.3764e+11 3.99769e+11 4.89625e+10 5.47655e+11
0.023 1.16929e+12 0 1.55998e+11 4.04186e+11 5.66075e+10 5.52498e+11
0.024 1.20158e+12 0 1.72327e+11 4.08571e+11 6.3368e+10 5.57317e+11
0.025 1.23175e+12 0 1.87212e+11 4.12924e+11 6.95025e+10 5.62113e+11
0.026 1.2603e+12 0 2.01002e+11 4.17246e+11 7.51646e+10 5.66887e+11
0.027 1.28756e+12 0 2.13925e+11 4.21539e+11 8.04542e+10 5.71639e+11
0.028 1.31376e+12 0 2.2614e+11 4.25804e+11 8.54405e+10 5.7637e+11
0.029 1.33906e+12 0 2.37762e+11 4.30043e+11 9.01739e+10 5.81082e+11
0.03 1.3636e+12 0 2.48878e+11 4.34254e+11 9.46924e+10 5.85773e+11
0.031 1.38747e+12 0 2.59557e+11 4.38441e+11 9.90254e+10 5.90446e+11
0.032 1.41075e+12 0 2.69853e+11 4.42604e+11 1.03196e+11 5.951e+11
0.033 1.43351e+12 0 2.79809e+11 4.46742e+11 1.07224e+11 5.99736e+11
0.034 1.4558e+12 0 2.89463e+11 4.50858e+11 1.11125e+11 6.04355e+11
0.035 1.47766e+12 0 2.98844e+11 4.54953e+11 1.14911e+11 6.08956e+11
0.036 1.49914e+12 0 3.07978e+11 4.59025e+11 1.18593e+11 6.13541e+11
0.037 1.52026e+12 0 3.16887e+11 4.63078e+11 1.22182e+11 6.1811e+11
0.038 1.54105e+12 0 3.2559e+11 4.6711e+11 1.25684e+11 6.22663e+11
0.039 1.56154e+12 0 3.34103e+11 4.71123e+11 1.29108e+11 6.27201e+11
0.04 1.58174e+12 0 3.42442e+11 4.75117e+11 1.32459e+11 6.31725e+11
0.041 1.60169e+12 0 3.50619e+11 4.79093e+11 1.35742e+11 6.36233e+11
