Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s) II(1/s)
0 6.68545e+11 0 0 4.73213e+11 0 1.95332e+11 0
0.001 8.74705e+11 1.97481e+11 0 4.79386e+11 0 1.97838e+11 0
0.002 1.10266e+12 4.16712e+11 0 4.85537e+11 0 2.00406e+11 0
0.003 1.14146e+12 4.46923e+11 0 4.91449e+11 0 2.03087e+11 0
0.004 1.26269e+12 5.5951e+11 0 4.97283e+11 0 2.05897e+11 0
0.005 1.3783e+12 6.66895e+11 0 5.02602e+11 0 2.08804e+11 0
0.006 1.4563e+12 7.36794e+11 0 5.08379e+11 0 2.1113e+11 0
0.007 1.52494e+12 7.97032e+11 0 5.14605e+11 0 2.13306e+11 0
0.008 1.58657e+12 8.50062e+11 0 5.20877e+11 0 2.15631e+11 0
0.009 1.64843e+12 9.03648e+11 0 5.26691e+11 0 2.18095e+11 0
0.01 1.72085e+12 9.67503e+11 0 5.32829e+11 0 2.20522e+11 0
0.011 1.79401e+12 1.03193e+12 0 5.39141e+11 0 2.22938e+11 0
0.012 1.86418e+12 1.09336e+12 0 5.45336e+11 0 2.25486e+11 0
0.013 1.94107e+12 1.15374e+12 8.0526e+09 5.51061e+11 0 2.28222e+11 0
0.014 2.00434e+12 1.1988e+12 1.75453e+10 5.57116e+11 0 2.30881e+11 0
0.015 2.04736e+12 1.23175e+12 1.93913e+10 5.62953e+11 0 2.33267e+11 0
0.016 2.0922e+12 1.26427e+12 2.40668e+10 5.68182e+11 0 2.35689e+11 0
0.017 2.12375e+12 1.28406e+12 2.8761e+10 5.72827e+11 0 2.38097e+11 0
0.018 2.17136e+12 1.32109e+12 3.1912e+10 5.77941e+11 0 2.40412e+11 0
0.019 2.22862e+12 1.36311e+12 3.95069e+10 5.83237e+11 2.36553e+08 2.4253e+11 0
0.02 2.28764e+12 1.39549e+12 5.28387e+10 5.88769e+11 5.91562e+09 2.44626e+11 0
0.021 2.3478e+12 1.43244e+12 6.20491e+10 5.94405e+11 1.19648e+10 2.46938e+11 0
0.022 2.41061e+12 1.48001e+12 6.84644e+10 5.99865e+11 1.29283e+10 2.49345e+11 0
0.023 2.47944e+12 1.52914e+12 7.71013e+10 6.05267e+11 1.6145e+10 2.51788e+11 0
0.024 2.54573e+12 1.57753e+12 8.45343e+10 6.10363e+11 1.9174e+10 2.54129e+11 0
0.025 2.58945e+12 1.60602e+12 9.06276e+10 6.1523e+11 2.11633e+10 2.56411e+11 0
0.026 2.63965e+12 1.64248e+12 9.56433e+10 6.19939e+11 2.28791e+10 2.58703e+11 0
0.027 2.67828e+12 1.66834e+12 9.99349e+10 6.24712e+11 2.43978e+10 2.60901e+11 0
0.028 2.71531e+12 1.69246e+12 1.04447e+11 6.29332e+11 2.5944e+10 2.63123e+11 0
0.029 2.75464e+12 1.7185e+12 1.08741e+11 6.34234e+11 2.77725e+10 2.6539e+11 0
0.03 2.79816e+12 1.7482e+12 1.13643e+11 6.39148e+11 2.96131e+10 2.67552e+11 0
0.031 2.84514e+12 1.7815e+12 1.18686e+11 6.44054e+11 3.13704e+10 2.69529e+11 0
0.032 2.89366e+12 1.81668e+12 1.22938e+11 6.49412e+11 3.30804e+10 2.7155e+11 0
0.033 2.94394e+12 1.85454e+12 1.26618e+11 6.54699e+11 3.43558e+10 2.73731e+11 0
0.034 2.99358e+12 1.89249e+12 1.30395e+11 6.59464e+11 3.52986e+10 2.75935e+11 0
0.035 3.04429e+12 1.932e+12 1.33935e+11 6.64061e+11 3.62141e+10 2.7808e+11 0
0.036 3.08698e+12 1.96346e+12 1.37525e+11 6.68931e+11 3.68015e+10 2.80263e+11 0
0.037 3.12713e+12 1.99166e+12 1.40908e+11 6.74273e+11 3.78675e+10 2.82416e+11 0
0.038 3.16554e+12 2.01745e+12 1.44458e+11 6.80042e+11 3.90587e+10 2.84531e+11 0
0.039 3.20964e+12 2.04961e+12 1.47443e+11 6.85999e+11 3.99912e+10 2.86591e+11 0
0.04 3.25544e+12 2.08275e+12 1.50722e+11 6.92195e+11 4.10616e+10 2.88708e+11 0
0.041 3.29632e+12 2.11015e+12 1.54409e+11 6.98434e+11 4.2425e+10 2.90908e+11 0
0.042 3.33721e+12 2.13809e+12 1.58276e+11 7.03902e+11 4.38305e+10 2.93114e+11 0
0.043 3.37695e+12 2.16538e+12 1.61781e+11 7.0933e+11 4.5192e+10 2.95267e+11 0
